                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.7884,                 12.012,                 4.3701,                      0,                      0,                      0,                      0,                 6.8946,                 8.3053,                 4.1609,                  4e-05,                  4e-05,                  4e-05
                      1,                 6.8089,                 8.9386,                 4.5714,                      0,                      0,                      0,                      0,                 6.8949,                 8.3145,                 4.1631,              9.901e-05,              9.901e-05,              9.901e-05
                      2,                 4.7844,                 15.624,                 3.1371,                      0,                      0,                      0,                      0,                 6.8952,                 8.3235,                 4.1661,             0.00015683,             0.00015683,             0.00015683
                      3,                 6.3066,                 6.2313,                 4.2397,                      0,                      0,                      0,                      0,                 6.8958,                   8.34,                 4.1712,             0.00021347,             0.00021347,             0.00021347
                      4,                 6.4239,                 5.4986,                 3.9861,                      0,                      0,                      0,                      0,                 6.8967,                 8.3573,                 4.1787,             0.00026891,             0.00026891,             0.00026891
                      5,                 6.3735,                 5.3114,                  3.679,                      0,                      0,                      0,                      0,                 6.8975,                 8.3684,                 4.1856,             0.00032317,             0.00032317,             0.00032317
                      6,                 5.6652,                 5.4642,                 3.5072,                      0,                      0,                      0,                      0,                 6.8995,                 8.3981,                 4.2011,             0.00037624,             0.00037624,             0.00037624
                      7,                 5.3814,                 4.9324,                 3.2944,                      0,                      0,                      0,                      0,                 6.9007,                 8.4151,                  4.211,             0.00042812,             0.00042812,             0.00042812
                      8,                 5.6088,                 4.3099,                 3.4126,                      0,                      0,                      0,                      0,                 6.9038,                 8.4519,                 4.2354,             0.00047882,             0.00047882,             0.00047882
                      9,                 5.1648,                 4.0377,                 3.3415,                      0,                      0,                      0,                      0,                 6.9056,                 8.4721,                 4.2493,             0.00052832,             0.00052832,             0.00052832
                     10,                  4.763,                 3.9322,                 3.1323,                      0,                      0,                      0,                      0,                 6.9098,                 8.5285,                 4.2825,             0.00057664,             0.00057664,             0.00057664
                     11,                 4.6821,                 3.7707,                 3.2752,                      0,                      0,                      0,                      0,                 6.9122,                 8.5579,                 4.3002,             0.00062377,             0.00062377,             0.00062377
                     12,                 4.7697,                 3.7637,                 2.9612,                      0,                      0,                      0,                      0,                 6.9174,                 8.6042,                 4.3384,             0.00066971,             0.00066971,             0.00066971
                     13,                 4.5895,                 3.7496,                 2.9785,                      0,                      0,                      0,                      0,                 6.9204,                 8.6239,                   4.36,             0.00071447,             0.00071447,             0.00071447
                     14,                 4.3019,                  3.299,                 2.7331,                      0,                      0,                      0,                      0,                  6.927,                 8.6315,                 4.4082,             0.00075803,             0.00075803,             0.00075803
                     15,                 3.9618,                 3.2011,                 2.5393,                      0,                      0,                      0,                      0,                 6.9319,                 8.6603,                 4.4463,             0.00080041,             0.00080041,             0.00080041
                     16,                 3.8086,                 3.2262,                 2.4565,                      0,                      0,                      0,                      0,                 6.9421,                  8.717,                 4.5292,              0.0008416,              0.0008416,              0.0008416
                     17,                 4.0371,                 3.6599,                 2.4692,                      0,                      0,                      0,                      0,                 6.9449,                 8.6858,                 4.5496,              0.0008816,              0.0008816,              0.0008816
                     18,                 3.9339,                 2.8982,                 2.2119,                      0,                      0,                      0,                      0,                   6.95,                 8.7174,                 4.5896,             0.00092042,             0.00092042,             0.00092042
                     19,                 3.5708,                 2.9877,                  2.357,                      0,                      0,                      0,                      0,                 6.9574,                 8.8604,                 4.6531,             0.00095804,             0.00095804,             0.00095804
                     20,                  3.759,                 2.9304,                 2.2186,                      0,                      0,                      0,                      0,                  6.968,                 9.1457,                 4.7524,             0.00099448,             0.00099448,             0.00099448
                     21,                 3.2224,                 2.6887,                  2.124,                      0,                      0,                      0,                      0,                 6.9779,                 9.4113,                 4.8527,              0.0010297,              0.0010297,              0.0010297
                     22,                 3.2946,                  2.502,                 2.0122,                      0,                      0,                      0,                      0,                 6.9833,                 9.4682,                 4.9036,              0.0010638,              0.0010638,              0.0010638
                     23,                  3.411,                 2.8623,                 1.8646,                      0,                      0,                      0,                      0,                 6.9783,                 9.1214,                 4.8352,              0.0010967,              0.0010967,              0.0010967
                     24,                  2.922,                 2.4615,                 1.8801,                      0,                      0,                      0,                      0,                 6.9815,                 9.2863,                 4.8622,              0.0011284,              0.0011284,              0.0011284
                     25,                 3.4867,                  2.763,                 1.9187,                      0,                      0,                      0,                      0,                 6.9899,                 10.129,                 4.9514,              0.0011588,              0.0011588,              0.0011588
                     26,                 3.3996,                 2.5305,                 1.9874,                      0,                      0,                      0,                      0,                      7,                 10.721,                 5.0718,              0.0011882,              0.0011882,              0.0011882
                     27,                 3.1218,                 2.6712,                 1.8655,                      0,                      0,                      0,                      0,                 7.0076,                 10.768,                 5.1681,              0.0012163,              0.0012163,              0.0012163
                     28,                 2.7645,                 2.4698,                 1.9916,                      0,                      0,                      0,                      0,                 7.0076,                 10.768,                 5.1681,              0.0012432,              0.0012432,              0.0012432
                     29,                 2.8855,                 2.3505,                  1.684,                      0,                      0,                      0,                      0,                 7.0067,                 10.533,                 5.1615,               0.001269,               0.001269,               0.001269
                     30,                 3.0326,                 2.4312,                 1.6539,                      0,                      0,                      0,                      0,                 6.9978,                 10.536,                 5.0499,              0.0012935,              0.0012935,              0.0012935
                     31,                 2.8235,                 2.6273,                 1.7859,                      0,                      0,                      0,                      0,                  6.987,                 10.163,                 4.9249,              0.0013169,              0.0013169,              0.0013169
                     32,                 2.7935,                 2.3521,                 1.7468,                      0,                      0,                      0,                      0,                  6.987,                 10.163,                 4.9249,              0.0013391,              0.0013391,              0.0013391
                     33,                 2.7749,                 2.2081,                  1.693,                      0,                      0,                      0,                      0,                 6.9716,                 9.4063,                 4.7796,              0.0013466,              0.0013466,              0.0013466
                     34,                 2.7407,                 2.2652,                 1.5716,                      0,                      0,                      0,                      0,                 6.9395,                 8.0038,                 4.5412,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.5832,                 2.2661,                 1.6451,                      0,                      0,                      0,                      0,                 6.8612,                 7.0835,                 4.2475,              0.0013268,              0.0013268,              0.0013268
                     36,                    2.5,                 2.1368,                  1.518,                      0,                      0,                      0,                      0,                 6.8612,                 7.0835,                 4.2475,               0.001307,               0.001307,               0.001307
                     37,                  2.527,                  1.986,                 1.5467,                0.00092,                0.01423,                0.00048,                0.00011,                 6.3894,                 6.4536,                 3.7663,              0.0012872,              0.0012872,              0.0012872
                     38,                  2.509,                 2.1075,                 1.6834,                0.00354,                0.05694,                0.01288,                0.00449,                 5.0593,                 4.8201,                 2.8778,              0.0012674,              0.0012674,              0.0012674
                     39,                  2.482,                 2.1902,                 1.5857,                0.01453,                 0.1032,                0.05133,                 0.0207,                 3.4175,                  3.597,                 2.1989,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.407,                 2.0999,                  1.601,                0.01453,                 0.1032,                0.05133,                 0.0207,                 3.4175,                  3.597,                 2.1989,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.4936,                 1.8723,                 1.3544,                0.68307,                0.06139,                0.12637,                0.05037,                 2.6506,                 2.7933,                 1.8597,               0.001208,               0.001208,               0.001208
                     42,                 2.4534,                 1.9804,                 1.5643,                 0.5286,                0.11032,                0.17301,                0.07798,                 2.3635,                 2.4529,                 1.7021,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.2158,                  1.748,                 1.3748,                0.50316,                 0.1637,                0.22339,                 0.1067,                 2.2157,                 2.1983,                 1.5878,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.5603,                 2.2291,                 1.6823,                0.50316,                 0.1637,                0.22339,                 0.1067,                 2.2157,                 2.1983,                 1.5878,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.3709,                 1.7085,                 1.3979,                0.50179,                0.20996,                0.25274,                0.11457,                 2.1601,                 2.0671,                 1.5314,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.1404,                  1.707,                 1.3823,                 0.5255,                0.27046,                0.31032,                0.14497,                 2.0321,                 1.9284,                 1.4627,               0.001109,               0.001109,               0.001109
                     47,                 2.4843,                 1.8596,                 1.5117,                0.60622,                0.35943,                0.41031,                0.21022,                 1.9325,                 1.7822,                 1.3973,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.2732,                  1.736,                 1.4196,                0.60622,                0.35943,                0.41031,                0.21022,                 1.9325,                 1.7822,                 1.3973,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2425,                 1.7586,                 1.4598,                0.70366,                0.43942,                0.52129,                0.27448,                 1.9914,                 1.8231,                 1.3798,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2649,                  1.994,                 1.3748,                0.70829,                0.48388,                0.60172,                0.29869,                 2.0593,                 1.8371,                 1.3672,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.0642,                 1.7498,                 1.4354,                0.71331,                0.52669,                0.64735,                0.31665,                 2.0075,                 1.7656,                 1.3374,                0.00101,                0.00101,                0.00101
                     52,                 2.0766,                 1.6041,                 1.3546,                0.71331,                0.52669,                0.64735,                0.31665,                 2.0075,                 1.7656,                 1.3374,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.1782,                 1.7767,                 1.4832,                0.68527,                0.55516,                0.67071,                0.31889,                 1.9936,                 1.7288,                 1.3192,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.0595,                 1.6056,                 1.4147,                0.65526,                0.58363,                 0.6714,                0.31339,                 1.9701,                 1.6163,                 1.2977,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2969,                 2.0216,                 1.5716,                0.67613,                 0.5694,                0.67098,                0.32162,                 1.9368,                 1.4991,                 1.2807,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.0658,                 1.5872,                 1.3794,                0.67613,                 0.5694,                0.67098,                0.32162,                 1.9368,                 1.4991,                 1.2807,               0.000911,               0.000911,               0.000911
                     57,                 2.0443,                 1.5805,                 1.3076,                0.71822,                0.60142,                0.69416,                0.34286,                 1.8914,                 1.4172,                  1.268,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.9104,                  1.447,                 1.3361,                0.78604,                0.61922,                0.73776,                0.35821,                 1.8434,                 1.3864,                 1.2617,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.1035,                 1.4434,                 1.4507,                 0.7612,                0.62278,                0.72895,                0.35218,                 1.8478,                 1.4374,                 1.2635,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.9169,                 1.5383,                 1.2567,                 0.7612,                0.62278,                0.72895,                0.35218,                 1.8478,                 1.4374,                 1.2635,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.0979,                 1.4961,                 1.2584,                0.76567,                0.63345,                 0.7182,                0.33269,                 1.8939,                 1.5199,                 1.2678,               0.000812,               0.000812,               0.000812
                     62,                 1.8353,                 1.4618,                 1.2321,                0.77045,                 0.6689,                0.77162,                0.35834,                 1.8726,                 1.5062,                 1.2544,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.0712,                 1.5411,                  1.285,                0.76549,                0.75507,                0.81968,                0.39823,                 1.8457,                 1.4264,                 1.2447,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.8962,                 1.4948,                 1.3244,                0.76549,                0.75507,                0.81968,                0.39823,                 1.8457,                 1.4264,                 1.2447,              0.0007526,              0.0007526,              0.0007526
                     65,                  2.026,                 1.4631,                 1.2699,                 0.8242,                0.76157,                0.84139,                0.40591,                 1.8285,                 1.3704,                 1.2386,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.9713,                 1.4816,                 1.4422,                0.85411,                0.75005,                0.85226,                0.42328,                 1.7879,                 1.3212,                 1.2357,               0.000713,               0.000713,               0.000713
                     67,                 1.8276,                 1.4284,                 1.3837,                 0.8495,                0.76157,                0.86839,                0.44702,                 1.7507,                 1.2668,                 1.2375,              0.0006932,              0.0006932,              0.0006932
